,Submitted Date,Year,Make,Model,County,ZIP,EV Type,Transaction Type,Reduction_CO2,Reduction_Petroleum,Rebate Amount (USD)
0,01/13/2018,2018,Ford,Focus,Westchester,10598,BEV,Lease,2.76,592.89,1700
1,09/25/2017,2017,Ford,Focus,Oneida,13601,BEV,Lease,2.76,592.89,1700
2,04/26/2018,2018,Ford,Focus,Suffolk,11776,BEV,Lease,2.76,592.89,1700
3,08/30/2017,2017,Ford,Focus,Nassau,11756,BEV,Lease,2.76,592.89,1700
4,05/29/2018,2018,Ford,Focus,Onondaga,13039,BEV,Purchase,2.76,592.89,1700
5,07/10/2017,2017,Ford,Focus,Westchester,10514,BEV,Purchase,2.76,592.89,1700
6,10/02/2017,2017,Ford,Focus,Richmond,10312,BEV,Lease,2.76,592.89,1700
7,12/27/2017,2017,Ford,Focus,Dutchess,12538,BEV,Purchase,2.76,592.89,1700
8,03/12/2018,2018,Ford,Focus,Rockland,10965,BEV,Lease,2.76,592.89,1700
9,07/25/2017,2017,Ford,Focus,Lewis,13620,BEV,Purchase,2.76,592.89,1700
10,10/04/2017,2017,Ford,Focus,Westchester,10570,BEV,Lease,2.76,592.89,1700
11,12/18/2017,2017,Ford,Focus,Suffolk,11746,BEV,Lease,2.76,592.89,1700
12,09/01/2017,2017,Ford,Focus,Suffolk,11946,BEV,Lease,2.76,592.89,1700
13,05/02/2017,2017,Ford,Focus,Steuben,14807,BEV,Purchase,2.76,592.89,1700
14,04/20/2017,2017,Ford,Focus,Schenectady,12309,BEV,Purchase,2.76,592.89,1700
15,08/14/2017,2017,Ford,Focus,Oneida,13413,BEV,Purchase,2.76,592.89,1700
16,08/14/2017,2017,Ford,Focus,Ulster,12401,BEV,Lease,2.76,592.89,1700
17,04/24/2017,2017,Ford,Focus,Albany,12023,BEV,Lease,2.76,592.89,1700
18,06/27/2017,2017,Ford,Focus,Onondaga,13066,BEV,Purchase,2.76,592.89,1700
19,08/14/2017,2017,Ford,Focus,Nassau,11542,BEV,Lease,2.76,592.89,1700
20,05/08/2017,2017,Ford,Focus,Chenango,13815,BEV,Purchase,2.76,592.89,1700
21,12/30/2017,2017,Ford,Focus,Westchester,10549,BEV,Lease,2.76,592.89,1700
22,06/08/2018,2018,Ford,Focus,Broome,13850,BEV,Lease,2.76,592.89,1700
23,02/27/2018,2018,Ford,Focus,Suffolk,11741,BEV,Lease,2.76,592.89,1700
24,08/14/2017,2017,Ford,Focus,Nassau,11050,BEV,Lease,2.76,592.89,1700
25,04/28/2017,2017,Ford,C-MAX Energi,Nassau,11797,PHEV,Lease,1.97,336.31,500
26,05/08/2017,2017,Ford,C-MAX Energi,Suffolk,11934,PHEV,Lease,1.97,336.31,500
27,07/31/2017,2017,Ford,C-MAX Energi,Nassau,11590,PHEV,Purchase,1.97,336.31,500
28,06/14/2017,2017,Ford,C-MAX Energi,Erie,14220,PHEV,Lease,2.1,350.58,1100
29,09/16/2017,2017,Ford,C-MAX Energi,Westchester,10562,PHEV,Lease,2.1,350.58,1100
30,10/26/2017,2017,Ford,C-MAX Energi,Nassau,11050,PHEV,Lease,2.1,350.58,1100
31,07/07/2017,2017,Ford,C-MAX Energi,Nassau,11501,PHEV,Lease,2.1,350.58,1100
32,07/07/2017,2017,Ford,C-MAX Energi,Suffolk,11720,PHEV,Lease,2.1,350.58,1100
33,06/22/2017,2017,Ford,C-MAX Energi,Richmond,10312,PHEV,Lease,2.1,350.58,1100
34,01/19/2018,2018,Ford,C-MAX Energi,Columbia,12534,PHEV,Lease,2.1,350.58,1100
35,09/15/2017,2017,Ford,C-MAX Energi,Kings,11209,PHEV,Lease,2.1,350.58,1100
36,09/25/2017,2017,Ford,C-MAX Energi,Putnam,10516,PHEV,Lease,2.1,350.58,1100
37,10/23/2017,2017,Ford,C-MAX Energi,Washington,12832,PHEV,Lease,2.1,350.58,1100
38,09/06/2017,2017,Ford,C-MAX Energi,Suffolk,11788,PHEV,Lease,2.1,350.58,1100
39,08/24/2017,2017,Ford,C-MAX Energi,Steuben,14843,PHEV,Lease,2.1,350.58,1100
40,11/24/2017,2017,Ford,C-MAX Energi,Warren,12801,PHEV,Lease,2.1,350.58,1100
41,10/25/2017,2017,Ford,C-MAX Energi,Suffolk,11767,PHEV,Lease,2.1,350.58,1100
42,08/14/2017,2017,Ford,C-MAX Energi,Kings,11237,PHEV,Lease,2.1,350.58,1100
43,11/15/2017,2017,Ford,C-MAX Energi,Onondaga,13057,PHEV,Lease,2.1,350.58,1100
44,09/20/2017,2017,Ford,C-MAX Energi,Suffolk,11766,PHEV,Lease,2.1,350.58,1100
45,08/07/2017,2017,Ford,C-MAX Energi,Nassau,11040,PHEV,Lease,2.1,350.58,1100
46,10/25/2017,2017,Ford,C-MAX Energi,Washington,12887,PHEV,Purchase,2.1,350.58,1100
47,01/03/2018,2018,Ford,C-MAX Energi,Suffolk,11939,PHEV,Lease,2.1,350.58,1100
48,08/14/2017,2017,Ford,C-MAX Energi,Nassau,11050,PHEV,Purchase,2.1,350.58,1100
49,10/20/2017,2017,Ford,C-MAX Energi,Erie,14227,PHEV,Lease,2.1,350.58,1100
50,05/31/2017,2017,Ford,C-MAX Energi,Suffolk,11779,PHEV,Lease,2.1,350.58,1100
51,05/26/2017,2017,Ford,C-MAX Energi,Washington,12832,PHEV,Lease,2.1,350.58,1100
52,01/24/2018,2018,Ford,C-MAX Energi,Warren,12801,PHEV,Lease,2.1,350.58,1100
53,09/20/2017,2017,Ford,C-MAX Energi,Suffolk,11937,PHEV,Lease,2.1,350.58,1100
54,09/19/2017,2017,Ford,C-MAX Energi,Suffolk,11731,PHEV,Purchase,2.1,350.58,1100
55,07/12/2017,2017,Ford,C-MAX Energi,Suffolk,11784,PHEV,Lease,2.1,350.58,1100
56,05/03/2018,2018,Ford,C-MAX Energi,Erie,14150,PHEV,Lease,2.1,350.58,1100
57,11/17/2017,2017,Ford,C-MAX Energi,Richmond,10308,PHEV,Lease,2.1,350.58,1100
58,07/07/2017,2017,Ford,C-MAX Energi,Suffolk,11740,PHEV,Lease,2.1,350.58,1100
59,01/25/2018,2018,Ford,C-MAX Energi,Kings,11233,PHEV,Lease,2.1,350.58,1100
60,05/16/2017,2017,Ford,C-MAX Energi,Westchester,10705,PHEV,Lease,2.1,350.58,1100
61,11/16/2017,2017,Ford,C-MAX Energi,Nassau,11040,PHEV,Lease,2.1,350.58,1100
62,11/20/2017,2017,Ford,C-MAX Energi,Suffolk,11978,PHEV,Lease,2.1,350.58,1100
63,09/25/2017,2017,Ford,C-MAX Energi,Bronx,10469,PHEV,Lease,2.1,350.58,1100
64,07/01/2017,2017,Ford,C-MAX Energi,Queens,11429,PHEV,Lease,2.1,350.58,1100
65,09/20/2017,2017,Ford,C-MAX Energi,Suffolk,11934,PHEV,Lease,2.1,350.58,1100
66,06/30/2017,2017,Ford,C-MAX Energi,Erie,14224,PHEV,Lease,2.1,350.58,1100
67,11/13/2017,2017,Ford,C-MAX Energi,Nassau,11561,PHEV,Lease,2.1,350.58,1100
68,10/19/2017,2017,Ford,C-MAX Energi,Erie,14218,PHEV,Lease,2.1,350.58,1100
69,04/19/2017,2017,Ford,C-MAX Energi,Nassau,11771,PHEV,Lease,2.1,350.58,1100
70,05/11/2017,2017,Ford,C-MAX Energi,Saratoga,12831,PHEV,Lease,2.1,350.58,1100
71,12/11/2017,2017,Ford,C-MAX Energi,Suffolk,11757,PHEV,Lease,2.1,350.58,1100
